GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deadline4j-core,io.deadline4j,SlidingWindowHistogram.HistogramPair,0,9,0,0,0,4,0,1,0,1
deadline4j-core,io.deadline4j,ThreadLocalDeadlineContextStorage,0,45,0,2,0,14,0,8,0,7
deadline4j-core,io.deadline4j,OptionalCallSkippedException,0,8,0,0,0,2,0,1,0,1
deadline4j-core,io.deadline4j,DeadlineContextStorage,0,4,0,0,0,1,0,1,0,1
deadline4j-core,io.deadline4j,EnforcementMode,0,21,0,0,0,4,0,1,0,1
deadline4j-core,io.deadline4j,ServerDeadlineConfig,0,28,0,2,0,9,0,6,0,5
deadline4j-core,io.deadline4j,AdaptiveTimeoutConfig,3,102,2,6,0,23,2,13,0,11
deadline4j-core,io.deadline4j,DeadlineContextAwareExecutorService,42,51,0,0,6,13,6,9,6,9
deadline4j-core,io.deadline4j,ServiceConfigRegistry,0,11,0,0,0,4,0,2,0,2
deadline4j-core,io.deadline4j,ServiceConfig,0,35,0,0,0,11,0,6,0,6
deadline4j-core,io.deadline4j,TimeoutBudget.Segment,0,15,0,0,0,6,0,3,0,3
deadline4j-core,io.deadline4j,DeadlineExceededException,0,22,0,0,0,8,0,4,0,4
deadline4j-core,io.deadline4j,AdaptiveTimeoutConfig.Builder,0,68,0,0,0,16,0,9,0,9
deadline4j-core,io.deadline4j,ServiceConfig.Builder,0,40,0,0,0,14,0,6,0,6
deadline4j-core,io.deadline4j,DeadlineCodec,0,4,0,0,0,1,0,1,0,1
deadline4j-core,io.deadline4j,DeadlineContext,0,87,0,12,0,26,0,18,0,12
deadline4j-core,io.deadline4j,RemainingMillisCodec,0,57,0,6,0,15,0,7,0,4
deadline4j-core,io.deadline4j,AdaptiveTimeout,0,103,0,4,0,23,0,9,0,7
deadline4j-core,io.deadline4j,TimeoutBudget,0,122,0,10,0,30,0,19,0,14
deadline4j-core,io.deadline4j,DeadlineTimer.new DeadlineTimer() {...},0,24,0,0,0,5,0,4,0,4
deadline4j-core,io.deadline4j,AdaptiveTimeoutRegistry,0,58,0,0,0,14,0,6,0,6
deadline4j-core,io.deadline4j,ThreadLocalTimeoutBudgetStorage,10,35,0,2,3,11,1,7,1,6
deadline4j-core,io.deadline4j,ServiceNameResolver,0,5,0,0,0,1,0,2,0,2
deadline4j-core,io.deadline4j,ServicePriority,0,15,0,0,0,3,0,1,0,1
deadline4j-core,io.deadline4j,SlidingWindowHistogram,0,129,0,4,0,28,0,8,0,6
deadline4j-core,io.deadline4j,DeadlineTestSupport,0,46,0,2,0,19,0,5,0,4
deadline4j-core,io.deadline4j,TimeoutBudgetStorage,0,4,0,0,0,1,0,1,0,1
deadline4j-core,io.deadline4j,DeadlineTimer,0,19,0,0,0,5,0,2,0,2
deadline4j-core,io.deadline4j,Deadline,6,156,1,15,2,29,2,22,1,15
